question_number,unit_number,chapter_number,question,choice_a,choice_b,choice_c,choice_d,answer
1,1,1,呼びました,よびました,よみました,よびます,あそびました,A
2,1,1,呼びます,ありました,よびます,よびました,えらびます,B
3,1,1,仕方,じかん,しごと,しかた,じしょ,C
4,1,1,美味しいらしい,おいしいです,おいしそう,おいしかった,おいしいらしい,D
5,1,1,確認してください,かくにんしてください,かいてください,きいてください,かえってください,A
6,1,1,間に合う,まちがう,まにあう,まにわない,まにあわせる,B
7,1,1,つけ方,つけもの,つかいかた,つけかた,つけほう,C
8,1,1,消して方,けいかく,けいかん,けした,けしかた,D
9,1,1,つける方,つけるほう,つけかた,つけるひと,つけること,A
10,1,1,消す方 ,けしかた,けすほう,けしたひと,けさない,B
11,1,2,見た目,めがね,みるもの,みため,みえる,C
12,1,2,バタバタ,ぺらぺら,どきどき,ごろごろ,ばたばた,D
13,1,2,急行,きゅうこう,きゅうり,きゅうじつ,きょう,A
14,1,2,空港 ,こうこう,くうこう,こうこう,きゅうこう,B
15,1,2,経済,けいかく,けいけん,けいざい,けいさつ,C
16,1,2,故障 ,こしょう,こうしょう,こきゅう,こしょう,D
17,1,2,習慣,しゅうかん,しゅうかん,しゅくだい,しゅうきょう,A
18,1,2,講義,かんじ,こうぎ,こうき,かいぎ,B
19,1,2,道,みせ,みぎ,みち,まち,C
20,1,2,待,まつ,まった,まって,まち,D
21,1,2,約束,やくそく,やさい,やさしい,やくしょ,A
22,2,1,持っている人がうらやましい,うらやましい,うらめしい,うたがわしい,うらなう,A
23,2,1,なぞる,なぐる,なぞる,なでる,ならべる,B
24,2,1,本を出して,ほんをかして,ほんをけして,ほんをだして,ほんをなして,C
25,2,1,本を片付けて,ほんをみつけて,ほんをきりつけて,ほんをあてつけて,ほんをかたづけて,D
26,2,1,本を開いて,ほんをひらいて,ほんをひいて,ほんをふいて,ほんをまいて,A
27,2,1,本を閉じて,ほんをたてて,ほんをとじて,ほんをのせて,ほんをすてて,B
28,2,1,夕方 ,ゆうべ,ゆうひ,ゆうがた,ゆうじん,C
29,2,1,注文 ,ちゅうい,ちゅうし,ちゅうもく,ちゅうもん,D
30,2,1,特急,とっきゅう,とくべつ,とくい,とくしゅう,A
31,2,2,発音,はつめい,はつおん,はってん,はっしゃ,B
32,2,2,注意,ちゅうしゃ,ちゅうし,ちゅうい,ちゅうもん,C
33,2,2,明日,あさって,あした,あさごはん,あした,D
34,2,2,安心 ,あんしん,あんぜん,あんない,あんき,A
35,2,2,計画 ,けいさん,けいかく,けいけん,けいさつ,B
36,2,2,運転 ,うんどう,うんそう,うんてん,うんぱん,C
37,2,2,お兄さん,おじいさん,おとうさん,おねえさん,おにいさん,D
38,2,2,研究室 ,けんきゅうしつ,けんしゅうじょ,きょうしつ,こうぎしつ,A
39,2,2,親切 ,しんぱい,しんせつ,しんせん,しんちょう,B
40,2,2,近所 ,きんじょ,きんこ,きんし,きんえん,A
41,2,2,社会 ,かいしゃ,じんじゃ,しゃかい,かいぎ,C
42,3,1,間違えてもいいよ,まちがえてもいいよ,まにあわなくてもいいよ,まけてもいいよ,まよってもいいよ,A
43,3,1,うらやましい,おそろしい,うらやましい,はずかしい,あやしい,B
44,3,1,ぬいぐるみ,ぬりえ,ぬの,ぬいぐるみ,ぬぎもの,C
45,3,1,面接の時間,めいし,めいれ,めいさく,めんせつのじかん,D
46,3,1,勘違いしていました,かんちがいしていました,かんしゃしていました,かんしんしていました,かんがえていました,A
