question_number,unit_number,chapter_number,question,choice_a,choice_b,choice_c,choice_d,answer
1,Kanji to Hiragana,1,呼びました,よびました,よみました,よびます,あそびました,A
2,Kanji to Hiragana,1,呼びます,ありました,よびます,よびました,えらびます,B
3,Kanji to Hiragana,1,仕方,じかん,しごと,しかた,じしょ,C
4,Kanji to Hiragana,1,美味しいらしい,おいしいです,おいしそう,おいしかった,おいしいらしい,D
5,Kanji to Hiragana,1,確認してください,かくにんしてください,かいてください,きいてください,かえってください,A
6,Kanji to Hiragana,1,間に合う,まちがう,まにあう,まにわない,まにあわせる,B
7,Kanji to Hiragana,1,つけ方,つけもの,つかいかた,つけかた,つけほう,C
8,Kanji to Hiragana,1,消し方,けいかく,けいかん,けした,けしかた,D
9,Kanji to Hiragana,1,つける方,つけるほう,つけかた,つけるひと,つけること,A
10,Kanji to Hiragana,1,消す方 ,けしかた,けすほう,けしたひと,けさない,B
11,Kanji to Hiragana,2,見た目,めがね,みるもの,みため,みえる,C
12,Kanji to Hiragana,2,バタバタ,ぺらぺら,どきどき,ごろごろ,ばたばた,D
13,Kanji to Hiragana,2,急行,きゅうこう,きゅうり,きゅうじつ,きょう,A
14,Kanji to Hiragana,2,空港 ,こうこう,くうこう,こうこう,きゅうこう,B
15,Kanji to Hiragana,2,経済,けいかく,けいけん,けいざい,けいさつ,C
16,Kanji to Hiragana,2,故障 ,こしょう,こうしょう,こきゅう,こしょう,D
17,Kanji to Hiragana,2,習慣,しゅうかん,しゅうかん,しゅくだい,しゅうきょう,A
18,Kanji to Hiragana,2,講義,かんじ,こうぎ,こうき,かいぎ,B
19,Kanji to Hiragana,2,道,みせ,みぎ,みち,まち,C
20,Kanji to Hiragana,2,待つ,まつ,まった,まって,まち,A
21,Kanji to Hiragana,3,約束,やくそく,やさい,やさしい,やくしょ,A
22,Kanji to Hiragana,3,持っている人がうらやましい,happy for person,jealous,lost,found,A
23,Kanji to Hiragana,3,なぞる,write,trace,copy,erase,B
24,Kanji to Hiragana,3,本を出して,ほんをかして,ほんをけして,ほんをだして,ほんをなして,C
25,Kanji to Hiragana,3,本を片付けて,ほんをみつけて,ほんをきりつけて,ほんをあてつけて,ほんをかたづけて,D
26,Kanji to Hiragana,3,本を開いて,ほんをひらいて,ほんをひいて,ほんをふいて,ほんをまいて,A
27,Kanji to Hiragana,3,本を閉じて,ほんをたてて ,ほんをとじて,ほんをのせて,ほんをすてて,B
28,Kanji to Hiragana,3,夕方 ,ゆうべ,ゆうひ,ゆうがた,ゆうじん,C
