question_number,grammar_ref,unit_number,section_number,question,choice_a,choice_b,choice_c,choice_d,answer
1,N5,きほん / Basic,N5: 1,私:     : わたし,私,わたし,I / me,1,I / me
2,N5,きほん / Basic,N5: 1,～さん:     : ～さん,～さん,～さん,Mr. / Ms. / Mrs.,1,Mr. / Ms. / Mrs.
3,N5,きほん / Basic,N5: 1,～ちゃん:     : ～ちゃん,～ちゃん,～ちゃん,(friendly suffix for children or close friends),1,(friendly suffix for children or close friends)
4,N5,きほん / Basic,N5: 1,あなた:     : あなた,あなた,あなた,you,1,you
5,N5,きほん / Basic,N5: 1,彼:     : かれ,彼,かれ,he / boyfriend,1,he / boyfriend
6,N5,きほん / Basic,N5: 1,彼女:     : かのじょ,彼女,かのじょ,she / girlfriend,1,she / girlfriend
7,N5,きほん / Basic,N5: 1,名前:     : なまえ,名前,なまえ,name,1,name
8,N5,きほん / Basic,N5: 1,はい:     : はい,はい,はい,yes,1,yes
9,N5,きほん / Basic,N5: 1,ええ:     : ええ,ええ,ええ,yeah / yes (casual),1,yeah / yes (casual)
10,N5,きほん / Basic,N5: 1,いいえ:     : いいえ,いいえ,いいえ,no,1,no
11,N5,きほん / Basic,N5: 1,そうです:     : そうです,そうです,そうです,that’s right,1,that’s right
12,N5,きほん / Basic,N5: 1,ちがいます:     : ちがいます,ちがいます,ちがいます,"that’s wrong / no, it isn’t",1,"that’s wrong / no, it isn’t"
13,N5,あいさつ / Greeting,N5: 2,おはよう:     : おはよう,おはよう,おはよう,good morning (casual),2,good morning (casual)
14,N5,あいさつ / Greeting,N5: 2,おはようございます:     : おはようございます,おはようございます,おはようございます,good morning (polite),2,good morning (polite)
15,N5,あいさつ / Greeting,N5: 2,こんにちは:     : こんにちは,こんにちは,こんにちは,hello / good afternoon,2,hello / good afternoon
16,N5,あいさつ / Greeting,N5: 2,こんばんは:     : こんばんは,こんばんは,こんばんは,good evening,2,good evening
17,N5,あいさつ / Greeting,N5: 2,さようなら:     : さようなら,さようなら,さようなら,goodbye,2,goodbye
18,N5,あいさつ / Greeting,N5: 2,じゃ、また:     : じゃ、また,じゃ、また,じゃ、また,see you later,2,see you later
19,N5,あいさつ / Greeting,N5: 2,おやすみ:     : おやすみ,おやすみ,おやすみ,good night (casual),2,good night (casual)
20,N5,あいさつ / Greeting,N5: 2,おやすみなさい:     : おやすみなさい,おやすみなさい,おやすみなさい,good night (polite),2,good night (polite)
21,N5,あいさつ / Greeting,N5: 2,ありがとう:     : ありがとう,ありがとう,ありがとう,thank you (casual),2,thank you (casual)
22,N5,あいさつ / Greeting,N5: 2,ありがとうございます:     : ありがとうございます,ありがとうございます,ありがとうございます,thank you (polite),2,thank you (polite)
23,N5,あいさつ / Greeting,N5: 2,どういたしまして:     : どういたしまして,どういたしまして,どういたしまして,you’re welcome,2,you’re welcome
24,N5,あいさつ / Greeting,N5: 2,どうぞ:     : どうぞ,どうぞ,どうぞ,please / go ahead,2,please / go ahead
25,N5,あいさつ / Greeting,N5: 2,どうも:     : どうも,どうも,どうも,thanks / hello / excuse me (depends on context),2,thanks / hello / excuse me (depends on context)
26,N5,あいさつ / Greeting,N5: 2,はじめまして:     : はじめまして,はじめまして,はじめまして,nice to meet you (first time),2,nice to meet you (first time)
27,N5,あいさつ / Greeting,N5: 2,どうぞよろしくお願いします:     : どうぞよろしくおねがいします,どうぞよろしくお願いします,どうぞよろしくおねがいします,pleased to meet you / I look forward to working with you,2,pleased to meet you / I look forward to working with you
28,N5,あいさつ / Greeting,N5: 2,こちらこそ:     : こちらこそ,こちらこそ,こちらこそ,likewise / the pleasure is mine,2,likewise / the pleasure is mine
29,N5,かぞく / Family,N5: 3,家族:     : かぞく,家族,かぞく,Family,3,Family
30,N5,かぞく / Family,N5: 3,両親:     : りょうしん,両親,りょうしん,parents,3,parents
31,N5,かぞく / Family,N5: 3,父:     : ちち,父,ちち,(my) father,3,(my) father
32,N5,かぞく / Family,N5: 3,母:     : はは,母,はは,(my) mother,3,(my) mother
33,N5,かぞく / Family,N5: 3,兄弟:     : きょうだい,兄弟,きょうだい,siblings,3,siblings
34,N5,かぞく / Family,N5: 3,姉:     : あね,姉,あね,(my) older sister,3,(my) older sister
35,N5,かぞく / Family,N5: 3,兄:     : あに,兄,あに,(my) older brother,3,(my) older brother
36,N5,かぞく / Family,N5: 3,弟:     : おとうと,弟,おとうと,(my) younger brother,3,(my) younger brother
37,N5,かぞく / Family,N5: 3,妹:     : いもうと,妹,いもうと,(my) younger sister,3,(my) younger sister
38,N5,かぞく / Family,N5: 3,犬:     : いぬ,犬,いぬ,dog,3,dog
39,N5,かぞく / Family,N5: 3,猫:     : ねこ,猫,ねこ,cat,3,cat
40,N5,かぞく / Family,N5: 3,いる:     : いる,いる,いる,to exist (for living things),3,to exist (for living things)
41,N5,かぞく / Family,N5: 4,うち | 家:     : うち,うち | 家,うち,my home / house / family,4,my home / house / family
42,N5,かぞく / Family,N5: 4,おじいさん:     : おじいさん,おじいさん,おじいさん,grandfather / old man,4,grandfather / old man
43,N5,かぞく / Family,N5: 4,おばあさん:     : おばあさん,おばあさん,おばあさん,grandmother / old woman,4,grandmother / old woman
44,N5,かぞく / Family,N5: 4,ご両親:     : ごりょうしん,ご両親,ごりょうしん,(someone’s) parents,4,(someone’s) parents
45,N5,かぞく / Family,N5: 4,お父さん:     : おとうさん,お父さん,おとうさん,(someone’s) father,4,(someone’s) father
46,N5,かぞく / Family,N5: 4,お母さん:     : おかあさん,お母さん,おかあさん,(someone’s) mother,4,(someone’s) mother
47,N5,かぞく / Family,N5: 4,お姉さん:     : おねえさん,お姉さん,おねえさん,(someone’s) older sister,4,(someone’s) older sister
48,N5,かぞく / Family,N5: 4,お兄さん:     : おにいさん,お兄さん,おにいさん,(someone’s) older brother,4,(someone’s) older brother
49,N5,かぞく / Family,N5: 4,弟さん:     : おとうとさん,弟さん,おとうとさん,(someone’s) younger brother,4,(someone’s) younger brother
50,N5,かぞく / Family,N5: 4,妹さん:     : いもうとさん,妹さん,いもうとさん,(someone’s) younger sister,4,(someone’s) younger sister
51,N5,なんにん？ / How many people?,N5: 5,一人:     : ひとり,一人,ひとり,one person,5,one person
52,N5,なんにん？ / How many people?,N5: 5,二人:     : ふたり,二人,ふたり,two people,5,two people
53,N5,なんにん？ / How many people?,N5: 5,三人:     : さんにん,三人,さんにん,three people,5,three people
54,N5,なんにん？ / How many people?,N5: 5,四人:     : よにん,四人,よにん,four people,5,four people
55,N5,なんにん？ / How many people?,N5: 5,五人:     : ごにん,五人,ごにん,five people,5,five people
56,N5,なんにん？ / How many people?,N5: 5,六人:     : ろくにん,六人,ろくにん,six people,5,six people
57,N5,なんにん？ / How many people?,N5: 5,七人:     : しちにん／ななにん,七人,しちにん／ななにん,seven people,5,seven people
58,N5,なんにん？ / How many people?,N5: 5,八人:     : はちにん,八人,はちにん,eight people,5,eight people
59,N5,なんにん？ / How many people?,N5: 5,九人:     : きゅうにん,九人,きゅうにん,nine people,5,nine people
60,N5,なんにん？ / How many people?,N5: 6,十人:     : じゅうにん,十人,じゅうにん,ten people,6,ten people
61,N5,なんにん？ / How many people?,N5: 6,何人:     : なんにん,何人,なんにん,how many people,6,how many people
62,N5,なんにん？ / How many people?,N5: 6,大人:     : おとな,大人,おとな,adult,6,adult
63,N5,なんにん？ / How many people?,N5: 6,子供:     : こども,子供,こども,child,6,child
64,N5,なんにん？ / How many people?,N5: 6,男の人:     : おとこのひと,男の人,おとこのひと,man,6,man
65,N5,なんにん？ / How many people?,N5: 6,女の人:     : おんなのひと,女の人,おんなのひと,woman,6,woman
66,N5,なんにん？ / How many people?,N5: 6,男の子:     : おとこのこ,男の子,おとこのこ,boy,6,boy
67,N5,なんにん？ / How many people?,N5: 6,女の子:     : おんなのこ,女の子,おんなのこ,girl,6,girl
68,N5,～からきました / I came from,N5: 7,国:     : くに,国,くに,country,7,country
69,N5,～からきました / I came from,N5: 7,ある:     : ある,ある,ある,to exist (for things/places),7,to exist (for things/places)
70,N5,～からきました / I came from,N5: 7,どちら:     : どちら,どちら,どちら,which / where (polite),7,which / where (polite)
71,N5,～からきました / I came from,N5: 7,どこ:     : どこ,どこ,どこ,where,7,where
72,N5,～からきました / I came from,N5: 7,<Place> からきました:     : ～からきました,<Place> からきました,～からきました,came from ～,7,came from ～
73,N5,～からきました / I came from,N5: 7,アメリカ人:     : アメリカじん,アメリカ人,アメリカじん,American,7,American
74,N5,～からきました / I came from,N5: 7,日本人:     : にほんじん,日本人,にほんじん,Japanese,7,Japanese
75,N5,～からきました / I came from,N5: 7,地図:     : ちず,地図,ちず,map,7,map
76,N5,～からきました / I came from,N5: 7,世界:     : せかい,世界,せかい,world,7,world
77,N5,～からきました / I came from,N5: 7,日本:     : にほん,日本,にほん,Japan,7,Japan
78,N5,～からきました / I came from,N5: 7,インド:     : インド,インド,インド,India,7,India
79,N5,～からきました / I came from,N5: 7,インドネシア:     : インドネシア,インドネシア,インドネシア,Indonesia,7,Indonesia
80,N5,～からきました / I came from,N5: 7,韓国:     : かんこく,韓国,かんこく,South Korea,7,South Korea
81,N5,～からきました / I came from,N5: 8,タイ:     : タイ,タイ,タイ,Thailand,8,Thailand
82,N5,～からきました / I came from,N5: 8,台湾:     : たいわん,台湾,たいわん,Taiwan,8,Taiwan
83,N5,～からきました / I came from,N5: 8,中国:     : ちゅうごく,中国,ちゅうごく,China,8,China
84,N5,～からきました / I came from,N5: 8,ネパール:     : ネパール,ネパール,ネパール,Nepal,8,Nepal
85,N5,～からきました / I came from,N5: 8,フィリピン:     : フィリピン,フィリピン,フィリピン,Philippines,8,Philippines
86,N5,～からきました / I came from,N5: 8,ベトナム:     : ベトナム,ベトナム,ベトナム,Vietnam,8,Vietnam
87,N5,～からきました / I came from,N5: 8,マレーシア:     : マレーシア,マレーシア,マレーシア,Malaysia,8,Malaysia
88,N5,～からきました / I came from,N5: 8,ミャンマー:     : ミャンマー,ミャンマー,ミャンマー,Myanmar,8,Myanmar
89,N5,～からきました / I came from,N5: 8,トルコ:     : トルコ,トルコ,トルコ,Turkey,8,Turkey
90,N5,～からきました / I came from,N5: 8,オーストラリア:     : オーストラリア,オーストラリア,オーストラリア,Australia,8,Australia
91,N5,～からきました / I came from,N5: 8,ニュージーランド:     : ニュージーランド,ニュージーランド,ニュージーランド,New Zealand,8,New Zealand
92,N5,～からきました / I came from,N5: 9,アメリカ:     : アメリカ,アメリカ,アメリカ,the United States,9,the United States
93,N5,～からきました / I came from,N5: 9,カナダ:     : カナダ,カナダ,カナダ,Canada,9,Canada
94,N5,～からきました / I came from,N5: 9,メキシコ:     : メキシコ,メキシコ,メキシコ,Mexico,9,Mexico
95,N5,～からきました / I came from,N5: 9,ブラジル:     : ブラジル,ブラジル,ブラジル,Brazil,9,Brazil
96,N5,～からきました / I came from,N5: 9,ロシア:     : ロシア,ロシア,ロシア,Russia,9,Russia
97,N5,～からきました / I came from,N5: 9,イギリス:     : イギリス,イギリス,イギリス,the United Kingdom,9,the United Kingdom
98,N5,～からきました / I came from,N5: 9,フランス:     : フランス,フランス,フランス,France,9,France
99,N5,～からきました / I came from,N5: 9,ドイツ:     : ドイツ,ドイツ,ドイツ,Germany,9,Germany
100,N5,～からきました / I came from,N5: 9,スイス:     : スイス,スイス,スイス,Switzerland,9,Switzerland
101,N5,～からきました / I came from,N5: 9,イタリア:     : イタリア,イタリア,イタリア,Italy,9,Italy
102,N5,～からきました / I came from,N5: 9,スペイン:     : スペイン,スペイン,スペイン,Spain,9,Spain
103,N5,～からきました / I came from,N5: 9,オランダ:     : オランダ,オランダ,オランダ,Netherlands,9,Netherlands
104,N5,～からきました / I came from,N5: 9,エジプト:     : エジプト,エジプト,エジプト,Egypt,9,Egypt
105,N5,がっこう / School,N5: 10,先生:     : せんせい,先生,せんせい,teacher,10,teacher
106,N5,がっこう / School,N5: 10,学生:     : がくせい,学生,がくせい,student,10,student
107,N5,がっこう / School,N5: 10,留学生:     : りゅうがくせい,留学生,りゅうがくせい,international student,10,international student
108,N5,がっこう / School,N5: 10,学校:     : がっこう,学校,がっこう,school,10,school
109,N5,がっこう / School,N5: 10,勉強（する）:     : べんきょう（する）,勉強（する）,べんきょう（する）,to study,10,to study
110,N5,がっこう / School,N5: 10,日本語学校:     : にほんごがっこう,日本語学校,にほんごがっこう,Japanese language school,10,Japanese language school
111,N5,がっこう / School,N5: 10,小学校:     : しょうがっこう,小学校,しょうがっこう,elementary school,10,elementary school
112,N5,がっこう / School,N5: 11,中学校:     : ちゅうがっこう,中学校,ちゅうがっこう,junior high school,11,junior high school
113,N5,がっこう / School,N5: 11,高校:     : こうこう,高校,こうこう,high school,11,high school
114,N5,がっこう / School,N5: 11,大学:     : だいがく,大学,だいがく,university,11,university
115,N5,がっこう / School,N5: 11,教室:     : きょうしつ,教室,きょうしつ,classroom,11,classroom
116,N5,がっこう / School,N5: 11,クラス:     : クラス,クラス,クラス,class,11,class
117,N5,がっこう / School,N5: 11,行く:     : いく,行く,いく,to go,11,to go
118,N5,がっこう / School,N5: 11,来る:     : くる,来る,くる,to come,11,to come
119,N5,がっこう / School,N5: 11,帰る:     : かえる,帰る,かえる,to go home / return,11,to go home / return
120,N5,つき / Month,N5: 12,～月:     : ～がつ,～月,～がつ,month (suffix),12,month (suffix)
121,N5,つき / Month,N5: 12,１月:     : いちがつ,１月,いちがつ,January,12,January
122,N5,つき / Month,N5: 12,２月:     : にがつ,２月,にがつ,February,12,February
123,N5,つき / Month,N5: 12,３月:     : さんがつ,３月,さんがつ,March,12,March
124,N5,つき / Month,N5: 12,４月:     : しがつ,４月,しがつ,April,12,April
125,N5,つき / Month,N5: 12,５月:     : ごがつ,５月,ごがつ,May,12,May
126,N5,つき / Month,N5: 12,６月:     : ろくがつ,６月,ろくがつ,June,12,June
127,N5,つき / Month,N5: 12,７月:     : しちがつ,７月,しちがつ,July,12,July
128,N5,つき / Month,N5: 12,８月:     : はちがつ,８月,はちがつ,August,12,August
129,N5,つき / Month,N5: 12,９月:     : くがつ,９月,くがつ,September,12,September
130,N5,つき / Month,N5: 12,１０月:     : じゅうがつ,１０月,じゅうがつ,October,12,October
131,N5,つき / Month,N5: 12,１１月:     : じゅういちがつ,１１月,じゅういちがつ,November,12,November
132,N5,つき / Month,N5: 12,１２月:     : じゅうにがつ,１２月,じゅうにがつ,December,12,December
133,N5,つき / Month,N5: 12,何月:     : なんがつ,何月,なんがつ,what month,12,what month
134,N5,ようび / Day of the week,N5: 13,曜日:     : ようび,曜日,ようび,day of the week,13,day of the week
135,N5,ようび / Day of the week,N5: 13,日曜日:     : にちようび,日曜日,にちようび,Sunday,13,Sunday
136,N5,ようび / Day of the week,N5: 13,月曜日:     : げつようび,月曜日,げつようび,Monday,13,Monday
137,N5,ようび / Day of the week,N5: 13,火曜日:     : かようび,火曜日,かようび,Tuesday,13,Tuesday
138,N5,ようび / Day of the week,N5: 13,水曜日:     : すいようび,水曜日,すいようび,Wednesday,13,Wednesday
